time_s,current_uA,applied_V,force_V,force_mN
58.9,6250.0,0.8,7.645,428.12
59.0,6250.0,0.8,7.645,428.12
59.1,6250.0,0.8,7.645,428.12
59.2,6250.0,0.8,7.645,428.12
59.3,6250.0,0.8,7.643,428.008
59.4,6250.0,0.8,7.643,428.008
59.5,6250.0,0.8,7.643,428.008
59.6,6250.0,0.8,7.643,428.008
59.7,6250.0,0.8,7.643,428.008
59.8,6250.0,0.8,7.643,428.008
59.9,6250.0,0.8,7.643,428.008
60.0,6250.0,0.8,7.643,428.008
60.1,6250.0,0.8,7.643,428.008
60.2,6250.0,0.8,7.643,428.008
60.3,6250.0,0.8,7.645,428.12
60.4,6250.0,0.8,7.645,428.12
60.5,6250.0,0.8,7.645,428.12
60.6,6250.0,0.8,7.645,428.12
60.7,6250.0,0.8,7.645,428.12
60.8,6250.0,0.8,7.643,428.008
60.9,6250.0,0.8,7.643,428.008
61.0,6250.0,0.8,7.643,428.008
61.1,6250.0,0.8,7.643,428.008
61.2,6250.0,0.8,7.643,428.008
61.3,6250.0,0.8,7.644,428.064
61.4,6250.0,0.8,7.644,428.064
61.5,6250.0,0.8,7.644,428.064
61.6,6250.0,0.8,7.644,428.064
61.7,6250.0,0.8,7.644,428.064
61.8,6250.0,0.8,7.643,428.008
61.9,6250.0,0.8,7.643,428.008
62.0,6250.0,0.8,7.643,428.008
62.1,6250.0,0.8,7.643,428.008
62.2,6250.0,0.8,7.643,428.008
62.3,6250.0,0.8,7.644,428.064
62.4,6250.0,0.8,7.644,428.064
62.5,6250.0,0.8,7.644,428.064
62.6,6250.0,0.8,7.644,428.064
62.7,6250.0,0.8,7.644,428.064
62.8,6250.0,0.8,7.645,428.12
62.9,6250.0,0.8,7.645,428.12
63.0,6250.0,0.8,7.645,428.12
63.1,6250.0,0.8,7.645,428.12
63.2,6250.0,0.8,7.645,428.12
63.3,6250.0,0.8,7.645,428.12
63.4,6250.0,0.8,7.645,428.12
63.5,6250.0,0.8,7.645,428.12
63.6,6250.0,0.8,7.645,428.12
63.7,6250.0,0.8,7.645,428.12
63.8,6250.0,0.8,7.645,428.12
63.9,6250.0,0.8,7.645,428.12
64.0,6250.0,0.8,7.645,428.12
64.1,6250.0,0.8,7.645,428.12
64.2,6250.0,0.8,7.645,428.12
64.3,6250.0,0.8,7.643,428.008
64.4,6250.0,0.8,7.643,428.008
64.5,6250.0,0.8,7.643,428.008
64.6,6250.0,0.8,7.643,428.008
64.7,6250.0,0.8,7.643,428.008
64.8,6250.0,0.8,7.644,428.064
64.9,6250.0,0.8,7.644,428.064
65.0,6250.0,0.8,7.644,428.064
65.1,6250.0,0.8,7.644,428.064
65.2,6250.0,0.8,7.644,428.064
65.3,6250.0,0.8,7.64,427.84
65.4,6250.0,0.8,7.64,427.84
65.5,6250.0,0.8,7.64,427.84
65.6,6250.0,0.8,7.64,427.84
