time_s,current_uA,applied_V,force_V_raw,force_V,force_mN,stress_MPa
33.5,6090.9,0.8,11.815,2.3626,134.55007,0.17727281949934126
33.6,6089.47,0.8,11.815,2.3626,134.55007,0.17727281949934126
33.7,6091.86,0.8,11.815,2.3626,134.55007,0.17727281949934126
33.8,6085.66,0.8,11.814,2.3626,134.55007,0.17727281949934126
33.9,6090.43,0.8,11.814,2.3626,134.55007,0.17727281949934126
34.0,6086.13,0.8,11.814,2.3626,134.55007,0.17727281949934126
34.1,6091.38,0.8,11.814,2.3626,134.55007,0.17727281949934126
34.2,6099.96,0.8,11.814,2.3626,134.55007,0.17727281949934126
34.3,6098.06,0.8,11.814,2.3626,134.55007,0.17727281949934126
34.4,6098.06,0.8,11.814,2.3626,134.55007,0.17727281949934126
34.5,6098.53,0.8,11.814,2.3626,134.55007,0.17727281949934126
34.6,6097.7,0.8,11.814,2.3626,134.55007,0.17727281949934126
34.7,6097.58,0.8,11.814,2.3626,134.55007,0.17727281949934126
34.8,6098.68,0.8,11.814,2.3626,134.55007,0.17727281949934126
34.9,6099.96,0.8,11.814,2.3626,134.55007,0.17727281949934126
35.0,6099.49,0.8,11.814,2.3626,134.55007,0.17727281949934126
35.1,6099.96,0.8,11.814,2.3626,134.55007,0.17727281949934126
35.2,6104.73,0.8,11.814,2.3626,134.55007,0.17727281949934126
35.3,6104.25,0.8,11.814,2.3628,134.56146,0.17728782608695653
35.4,6106.64,0.8,11.814,2.3628,134.56146,0.17728782608695653
35.5,6107.59,0.8,11.814,2.3628,134.56146,0.17728782608695653
35.6,6105.21,0.8,11.814,2.3628,134.56146,0.17728782608695653
35.7,6105.69,0.8,11.814,2.3628,134.56146,0.17728782608695653
35.8,6105.69,0.8,11.815,2.3626,134.55007,0.17727281949934126
35.9,6108.07,0.8,11.815,2.3626,134.55007,0.17727281949934126
36.0,6108.55,0.8,11.815,2.3626,134.55007,0.17727281949934126
36.1,6113.31,0.8,11.815,2.3626,134.55007,0.17727281949934126
36.2,6115.7,0.8,11.815,2.3626,134.55007,0.17727281949934126
36.3,6118.56,0.8,11.813,2.3626,134.55007,0.17727281949934126
36.4,6117.13,0.8,11.813,2.3626,134.55007,0.17727281949934126
36.5,6121.9,0.8,11.813,2.3626,134.55007,0.17727281949934126
36.6,6122.37,0.8,11.813,2.3626,134.55007,0.17727281949934126
36.7,6122.37,0.8,11.813,2.3626,134.55007,0.17727281949934126
36.8,6122.85,0.8,11.813,2.3626,134.55007,0.17727281949934126
36.9,6122.37,0.8,11.813,2.3626,134.55007,0.17727281949934126
37.0,6120.94,0.8,11.813,2.3626,134.55007,0.17727281949934126
37.1,6120.47,0.8,11.813,2.3626,134.55007,0.17727281949934126
37.2,6117.61,0.8,11.813,2.3626,134.55007,0.17727281949934126
37.3,6119.04,0.8,11.813,2.3626,134.55007,0.17727281949934126
37.4,6117.61,0.8,11.813,2.3626,134.55007,0.17727281949934126
37.5,6119.04,0.8,11.813,2.3626,134.55007,0.17727281949934126
37.6,6119.99,0.8,11.813,2.3626,134.55007,0.17727281949934126
37.7,6117.61,0.8,11.813,2.3626,134.55007,0.17727281949934126
