frame,t_s,x_px,y_px,score,disp_mm,dx_mm,dy_mm
314,12.56,1647.135,378.750,0.9960,5.3182,-3.0324,-4.3689
315,12.6,1647.338,378.939,0.9977,5.3126,-3.0282,-4.3651
316,12.64,1646.961,379.266,0.9954,5.3115,-3.0359,-4.3584
317,12.68,1647.153,378.889,0.9969,5.3156,-3.0320,-4.3661
318,12.72,1647.614,379.825,0.9978,5.2946,-3.0226,-4.3470
319,12.76,1647.844,380.952,0.9964,5.2730,-3.0179,-4.3240
320,12.8,1648.319,381.558,0.9968,5.2573,-3.0082,-4.3116
321,12.84,1648.808,382.751,0.9960,5.2317,-2.9982,-4.2873
322,12.88,1649.250,383.085,0.9972,5.2209,-2.9892,-4.2805
323,12.92,1649.617,384.000,0.9979,5.2013,-2.9817,-4.2618
324,12.96,1649.628,384.532,0.9952,5.1923,-2.9815,-4.2509
325,13.0,1650.007,383.980,0.9949,5.1971,-2.9738,-4.2622
326,13.04,1650.231,384.967,0.9970,5.1779,-2.9692,-4.2421
327,13.08,1650.892,386.483,0.9955,5.1449,-2.9557,-4.2111
328,13.12,1651.176,386.615,0.9964,5.1393,-2.9499,-4.2084
329,13.16,1651.616,387.226,0.9975,5.1240,-2.9409,-4.1960
330,13.2,1651.919,388.480,0.9950,5.0995,-2.9348,-4.1704
331,13.24,1652.605,389.327,0.9965,5.0773,-2.9208,-4.1531
332,13.28,1653.396,390.017,0.9975,5.0565,-2.9046,-4.1390
333,13.32,1653.583,391.547,0.9951,5.0288,-2.9008,-4.1078
334,13.36,1654.349,392.890,0.9966,4.9973,-2.8852,-4.0804
335,13.4,1655.261,394.539,0.9949,4.9591,-2.8665,-4.0467
336,13.44,1657.134,397.059,0.9945,4.8951,-2.8283,-3.9953
337,13.48,1658.785,401.020,0.9950,4.8097,-2.7946,-3.9144
338,13.52,1660.942,405.153,0.9935,4.7155,-2.7506,-3.8301
339,13.56,1663.995,410.252,0.9931,4.5946,-2.6883,-3.7260
340,13.6,1667.678,417.129,0.9941,4.4369,-2.6131,-3.5857
341,13.64,1672.178,425.065,0.9910,4.2519,-2.5213,-3.4237
342,13.68,1677.589,433.328,0.9880,4.0507,-2.4109,-3.2551
343,13.72,1682.493,440.610,0.9885,3.8717,-2.3108,-3.1065
344,13.76,1686.864,447.949,0.9912,3.6983,-2.2216,-2.9567
345,13.8,1691.769,455.811,0.9917,3.5100,-2.1215,-2.7963
346,13.84,1698.227,464.915,0.9923,3.2823,-1.9897,-2.6105
347,13.88,1705.200,475.585,0.9922,3.0229,-1.8474,-2.3927
348,13.92,1712.488,486.710,0.9909,2.7524,-1.6987,-2.1657
349,13.96,1719.719,497.908,0.9887,2.4816,-1.5511,-1.9371
350,14.0,1727.162,509.972,0.9856,2.1948,-1.3992,-1.6909
351,14.04,1736.144,523.249,0.9839,1.8694,-1.2159,-1.4200
352,14.08,1746.194,538.655,0.9819,1.4980,-1.0108,-1.1056
353,14.12,1758.486,555.046,0.9756,1.0826,-0.7599,-0.7711
354,14.16,1771.837,569.669,0.9268,0.6790,-0.4874,-0.4726
355,14.2,1782.661,581.095,0.9451,0.3583,-0.2665,-0.2395
356,14.24,1788.550,588.180,0.9674,0.1744,-0.1464,-0.0949
357,14.28,1790.615,590.219,0.9811,0.1170,-0.1042,-0.0532
358,14.32,1792.076,591.056,0.9869,0.0827,-0.0744,-0.0362
359,14.36,1795.738,595.257,0.9920,0.0496,0.0003,0.0496
360,14.4,1800.492,601.787,0.9935,0.2071,0.0973,0.1828
361,14.44,1804.703,607.622,0.9926,0.3532,0.1833,0.3019
362,14.48,1807.337,610.906,0.9934,0.4385,0.2370,0.3689
363,14.52,1808.525,612.302,0.9944,0.4756,0.2613,0.3974
364,14.56,1809.085,612.877,0.9947,0.4917,0.2727,0.4092
365,14.6,1809.628,613.788,0.9967,0.5133,0.2838,0.4278
366,14.64,1810.051,613.900,0.9959,0.5201,0.2924,0.4301
367,14.68,1810.385,614.123,0.9980,0.5277,0.2993,0.4346
368,14.72,1810.694,614.662,0.9973,0.5403,0.3056,0.4456
369,14.76,1811.010,614.881,0.9965,0.5476,0.3120,0.4501
370,14.8,1811.381,614.949,0.9989,0.5531,0.3196,0.4515
371,14.84,1811.945,615.950,0.9971,0.5764,0.3311,0.4719
372,14.88,1812.307,616.302,0.9978,0.5866,0.3385,0.4791
373,14.92,1812.096,616.100,0.9974,0.5807,0.3342,0.4749
374,14.96,1812.192,616.368,0.9970,0.5863,0.3361,0.4804
375,15.0,1812.917,617.102,0.9977,0.6071,0.3509,0.4954
376,15.04,1813.178,617.159,0.9979,0.6111,0.3562,0.4966
